course,name,cmid,views,uniqusers,vpu,students,teachers,vps,fracstudents
0,forum,2736393,812.0,66.0,12.303030303030305,85,6,9.552941176470588,0.7764705882352941
0,resource,2796249,161.0,54.0,2.9814814814814814,85,6,1.8941176470588237,0.6352941176470588
0,resource,2812545,121.0,46.0,2.630434782608696,85,6,1.423529411764706,0.5411764705882353
0,resource,2860684,27.0,21.0,1.2857142857142858,85,6,0.3176470588235294,0.2470588235294117
0,resource,2887452,34.0,21.0,1.619047619047619,85,6,0.4,0.2470588235294117
0,resource,2892983,272.0,59.0,4.610169491525424,85,6,3.2,0.6941176470588235
0,resource,2895209,22.0,19.0,1.1578947368421053,85,6,0.2588235294117647,0.2235294117647059
0,resource,2895223,19.0,15.0,1.2666666666666666,85,6,0.2235294117647059,0.1764705882352941
0,resource,2896228,48.0,25.0,1.92,85,6,0.5647058823529412,0.2941176470588235
0,resource,2896232,20.0,18.0,1.1111111111111112,85,6,0.2352941176470588,0.2117647058823529
0,resource,2898712,19.0,16.0,1.1875,85,6,0.2235294117647059,0.188235294117647
0,resource,2898719,17.0,15.0,1.1333333333333333,85,6,0.2,0.1764705882352941
0,resource,2898720,17.0,14.0,1.2142857142857142,85,6,0.2,0.1647058823529411
0,resource,2898726,30.0,22.0,1.3636363636363635,85,6,0.3529411764705882,0.2588235294117647
0,resource,2898733,46.0,26.0,1.7692307692307692,85,6,0.5411764705882353,0.3058823529411765
0,resource,2914034,25.0,20.0,1.25,85,6,0.2941176470588235,0.2352941176470588
0,resource,2914037,12.0,11.0,1.0909090909090908,85,6,0.1411764705882353,0.1294117647058823
0,resource,2930334,26.0,18.0,1.4444444444444444,85,6,0.3058823529411765,0.2117647058823529
0,resource,2933498,30.0,22.0,1.3636363636363635,85,6,0.3529411764705882,0.2588235294117647
0,resource,2933505,58.0,30.0,1.9333333333333331,85,6,0.6823529411764706,0.3529411764705882
0,resource,2933508,26.0,15.0,1.7333333333333334,85,6,0.3058823529411765,0.1764705882352941
0,resource,2964876,112.0,53.0,2.1132075471698117,85,6,1.3176470588235294,0.6235294117647059
0,assign,2976601,954.0,57.0,16.736842105263158,85,6,11.223529411764703,0.6705882352941176
1,forum,2737054,231.0,56.0,4.125,133,7,1.736842105263158,0.4210526315789473
1,folder,2737059,138.0,59.0,2.3389830508474576,133,7,1.037593984962406,0.4436090225563909
1,folder,2737060,30.0,21.0,1.4285714285714286,133,7,0.225563909774436,0.1578947368421052
1,resource,2737061,147.0,68.0,2.161764705882353,133,7,1.105263157894737,0.5112781954887218
1,folder,2737062,135.0,60.0,2.25,133,7,1.0150375939849623,0.4511278195488721
1,folder,2737063,96.0,45.0,2.1333333333333333,133,7,0.7218045112781954,0.3383458646616541
1,resource,2737064,97.0,56.0,1.7321428571428572,133,7,0.7293233082706767,0.4210526315789473
1,folder,2737065,112.0,60.0,1.8666666666666667,133,7,0.8421052631578947,0.4511278195488721
1,folder,2737066,111.0,54.0,2.055555555555556,133,7,0.8345864661654135,0.4060150375939849
1,resource,2737067,84.0,55.0,1.5272727272727271,133,7,0.631578947368421,0.4135338345864661
1,folder,2737068,111.0,53.0,2.0943396226415096,133,7,0.8345864661654135,0.3984962406015037
1,folder,2737069,137.0,54.0,2.537037037037037,133,7,1.0300751879699248,0.4060150375939849
1,resource,2737070,89.0,57.0,1.5614035087719298,133,7,0.6691729323308271,0.4285714285714285
1,folder,2737072,85.0,49.0,1.7346938775510203,133,7,0.6390977443609023,0.3684210526315789
1,folder,2737074,82.0,46.0,1.7826086956521738,133,7,0.6165413533834586,0.3458646616541353
1,folder,2737075,83.0,42.0,1.9761904761904765,133,7,0.6240601503759399,0.3157894736842105
1,resource,2737076,80.0,52.0,1.5384615384615383,133,7,0.6015037593984962,0.3909774436090225
1,folder,2737077,75.0,47.0,1.5957446808510638,133,7,0.5639097744360902,0.3533834586466165
1,folder,2737078,60.0,41.0,1.4634146341463414,133,7,0.4511278195488721,0.3082706766917293
1,folder,2737079,26.0,21.0,1.238095238095238,133,7,0.1954887218045112,0.1578947368421052
1,folder,2737080,68.0,35.0,1.9428571428571428,133,7,0.5112781954887218,0.2631578947368421
1,folder,2737081,55.0,34.0,1.6176470588235294,133,7,0.4135338345864661,0.2556390977443609
1,resource,2737082,50.0,35.0,1.4285714285714286,133,7,0.3759398496240601,0.2631578947368421
1,folder,2737083,56.0,35.0,1.6,133,7,0.4210526315789473,0.2631578947368421
1,folder,2737084,25.0,20.0,1.25,133,7,0.18796992481203,0.150375939849624
1,folder,2737086,50.0,31.0,1.6129032258064515,133,7,0.3759398496240601,0.2330827067669172
1,resource,2737087,56.0,33.0,1.696969696969697,133,7,0.4210526315789473,0.2481203007518796
1,folder,2737088,54.0,32.0,1.6875,133,7,0.4060150375939849,0.2406015037593984
1,folder,2737089,30.0,22.0,1.3636363636363635,133,7,0.225563909774436,0.1654135338345864
1,resource,2737090,64.0,39.0,1.641025641025641,133,7,0.4812030075187969,0.2932330827067669
1,folder,2737091,53.0,35.0,1.5142857142857142,133,7,0.3984962406015037,0.2631578947368421
1,folder,2737092,42.0,32.0,1.3125,133,7,0.3157894736842105,0.2406015037593984
1,folder,2737093,44.0,31.0,1.4193548387096775,133,7,0.3308270676691729,0.2330827067669172
1,resource,2737094,49.0,34.0,1.4411764705882353,133,7,0.3684210526315789,0.2556390977443609
1,folder,2737095,56.0,40.0,1.4,133,7,0.4210526315789473,0.3007518796992481
1,folder,2737096,21.0,17.0,1.2352941176470589,133,7,0.1578947368421052,0.1278195488721804
1,folder,2737097,51.0,35.0,1.457142857142857,133,7,0.3834586466165413,0.2631578947368421
1,resource,2737099,86.0,31.0,2.774193548387097,133,7,0.6466165413533834,0.2330827067669172
1,folder,2737100,51.0,36.0,1.4166666666666667,133,7,0.3834586466165413,0.2706766917293233
1,folder,2737101,21.0,17.0,1.2352941176470589,133,7,0.1578947368421052,0.1278195488721804
1,folder,2737102,46.0,35.0,1.3142857142857145,133,7,0.3458646616541353,0.2631578947368421
1,folder,2737103,22.0,17.0,1.2941176470588236,133,7,0.1654135338345864,0.1278195488721804
1,resource,2737104,46.0,34.0,1.3529411764705883,133,7,0.3458646616541353,0.2556390977443609
1,url,2769862,43.0,35.0,1.2285714285714286,133,7,0.3233082706766917,0.2631578947368421
1,folder,2774056,82.0,48.0,1.7083333333333333,133,7,0.6165413533834586,0.3609022556390977
1,folder,2774069,66.0,43.0,1.5348837209302326,133,7,0.4962406015037593,0.3233082706766917
1,folder,2774073,64.0,40.0,1.6,133,7,0.4812030075187969,0.3007518796992481
1,folder,2774075,52.0,38.0,1.368421052631579,133,7,0.3909774436090225,0.2857142857142857
1,folder,2774077,23.0,9.0,2.555555555555556,133,7,0.1729323308270676,0.0676691729323308
1,folder,2774080,64.0,34.0,1.8823529411764703,133,7,0.4812030075187969,0.2556390977443609
1,folder,2774084,16.0,14.0,1.1428571428571428,133,7,0.1203007518796992,0.1052631578947368
1,resource,2774088,429.0,122.0,3.5163934426229506,133,7,3.225563909774436,0.9172932330827068
1,resource,2774089,335.0,108.0,3.101851851851852,133,7,2.518796992481203,0.8120300751879699
1,folder,2774090,68.0,40.0,1.7,133,7,0.5112781954887218,0.3007518796992481
1,assign,2977907,2888.0,114.0,25.33333333333333,133,7,21.714285714285715,0.8571428571428571
1,assign,2992332,89.0,20.0,4.45,133,7,0.6691729323308271,0.150375939849624
2,forum,2737475,553.0,54.0,10.24074074074074,137,3,4.036496350364963,0.3941605839416058
2,label,2737477,0.0,0.0,0.0,137,3,0.0,0.0
2,folder,2737478,41.0,32.0,1.28125,137,3,0.2992700729927007,0.2335766423357664
2,folder,2737479,34.0,23.0,1.4782608695652173,137,3,0.2481751824817518,0.1678832116788321
2,label,2737480,0.0,0.0,0.0,137,3,0.0,0.0
2,folder,2737481,21.0,16.0,1.3125,137,3,0.1532846715328467,0.1167883211678832
2,folder,2737482,22.0,18.0,1.2222222222222223,137,3,0.1605839416058394,0.1313868613138686
2,folder,2737483,27.0,21.0,1.2857142857142858,137,3,0.1970802919708029,0.1532846715328467
2,folder,2737484,24.0,20.0,1.2,137,3,0.1751824817518248,0.145985401459854
2,folder,2737485,22.0,17.0,1.2941176470588236,137,3,0.1605839416058394,0.1240875912408759
2,folder,2737486,1.0,1.0,1.0,137,3,0.0072992700729927,0.0072992700729927
2,resource,2737487,73.0,38.0,1.9210526315789476,137,3,0.5328467153284672,0.2773722627737226
2,resource,2737488,54.0,34.0,1.588235294117647,137,3,0.3941605839416058,0.2481751824817518
2,resource,2737489,70.0,40.0,1.75,137,3,0.5109489051094891,0.291970802919708
2,label,2737490,0.0,0.0,0.0,137,3,0.0,0.0
2,folder,2737491,20.0,15.0,1.3333333333333333,137,3,0.145985401459854,0.1094890510948905
2,folder,2737492,19.0,14.0,1.3571428571428572,137,3,0.1386861313868613,0.1021897810218978
2,label,2737495,0.0,0.0,0.0,137,3,0.0,0.0
2,folder,2776029,14.0,11.0,1.2727272727272727,137,3,0.1021897810218978,0.0802919708029197
2,folder,2776030,15.0,11.0,1.3636363636363635,137,3,0.1094890510948905,0.0802919708029197
2,page,2776078,136.0,73.0,1.8630136986301369,137,3,0.9927007299270072,0.5328467153284672
2,folder,2778258,18.0,14.0,1.2857142857142858,137,3,0.1313868613138686,0.1021897810218978
2,resource,2781644,179.0,87.0,2.057471264367816,137,3,1.3065693430656935,0.635036496350365
2,assign,2984011,1390.0,76.0,18.289473684210527,137,3,10.145985401459852,0.5547445255474452
2,assign,2994395,147.0,7.0,21.0,137,3,1.072992700729927,0.0510948905109489
3,forum,2753205,827.0,94.0,8.797872340425531,170,14,4.864705882352941,0.5529411764705883
3,resource,2857212,58.0,39.0,1.4871794871794872,170,14,0.3411764705882353,0.2294117647058823
3,resource,2857218,70.0,42.0,1.6666666666666667,170,14,0.4117647058823529,0.2470588235294117
3,resource,2879162,28.0,23.0,1.2173913043478262,170,14,0.1647058823529411,0.1352941176470588
3,resource,2879163,26.0,20.0,1.3,170,14,0.1529411764705882,0.1176470588235294
3,resource,2879164,22.0,19.0,1.1578947368421053,170,14,0.1294117647058823,0.1117647058823529
3,resource,2879273,27.0,23.0,1.173913043478261,170,14,0.1588235294117647,0.1352941176470588
3,resource,2879275,23.0,20.0,1.15,170,14,0.1352941176470588,0.1176470588235294
3,resource,2879277,37.0,29.0,1.2758620689655171,170,14,0.2176470588235294,0.1705882352941176
3,resource,2879280,22.0,19.0,1.1578947368421053,170,14,0.1294117647058823,0.1117647058823529
3,resource,2879281,21.0,18.0,1.1666666666666667,170,14,0.1235294117647058,0.1058823529411764
3,resource,2902973,63.0,38.0,1.6578947368421053,170,14,0.3705882352941176,0.2235294117647059
3,label,2902983,0.0,0.0,0.0,170,14,0.0,0.0
3,folder,2902996,113.0,66.0,1.7121212121212122,170,14,0.6647058823529411,0.388235294117647
3,url,2936884,25.0,19.0,1.3157894736842106,170,14,0.1470588235294117,0.1117647058823529
3,resource,2937342,26.0,22.0,1.181818181818182,170,14,0.1529411764705882,0.1294117647058823
3,resource,2947332,32.0,26.0,1.2307692307692308,170,14,0.188235294117647,0.1529411764705882
3,assign,2958983,2846.0,171.0,16.64327485380117,170,14,16.741176470588236,1.0058823529411764
4,forum,2757854,265.0,53.0,5.0,126,5,2.1031746031746037,0.4206349206349206
4,resource,2774790,227.0,79.0,2.873417721518988,126,5,1.8015873015873016,0.626984126984127
4,choicegroup,2779882,549.0,101.0,5.435643564356436,126,5,4.357142857142857,0.8015873015873016
4,resource,2831612,25.0,20.0,1.25,126,5,0.1984126984126984,0.1587301587301587
4,attendance,2848813,6.0,2.0,3.0,126,5,0.0476190476190476,0.0158730158730158
4,resource,2848851,31.0,23.0,1.3478260869565215,126,5,0.246031746031746,0.1825396825396825
4,resource,2870084,24.0,15.0,1.6,126,5,0.1904761904761904,0.119047619047619
4,choicegroup,2879412,276.0,54.0,5.111111111111111,126,5,2.1904761904761907,0.4285714285714285
4,resource,2879451,47.0,24.0,1.9583333333333333,126,5,0.373015873015873,0.1904761904761904
4,assign,2879467,236.0,45.0,5.2444444444444445,126,5,1.873015873015873,0.3571428571428571
4,resource,2879507,41.0,18.0,2.2777777777777777,126,5,0.3253968253968254,0.1428571428571428
4,resource,2879516,28.0,16.0,1.75,126,5,0.2222222222222222,0.1269841269841269
4,resource,2879527,55.0,27.0,2.037037037037037,126,5,0.4365079365079365,0.2142857142857142
4,resource,2879590,33.0,21.0,1.5714285714285714,126,5,0.2619047619047619,0.1666666666666666
4,resource,2879593,31.0,20.0,1.55,126,5,0.246031746031746,0.1587301587301587
4,resource,2879624,34.0,18.0,1.8888888888888888,126,5,0.2698412698412698,0.1428571428571428
